Местное время в Нижневартовске / им. В. И. Муравленко (аэропорт);T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
22.04.2018 17:00;-2.0;754.0;759.1;01.���;35;Ветер, дующий с запада;3;;;40%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";50.0;-15.7;;;;;;
22.04.2018 14:00;-2.5;752.1;757.2;01.���;39;Ветер, дующий с западо-юго-запада;4;;;Облаков нет.; ;;;;;;;;;;50.0;-14.8;;;;;;
22.04.2018 11:00;-4.6;751.0;756.3;0.9;42;Ветер, дующий с севера;3;;;Облаков нет.; ;;;;;;;;;;50.0;-15.7;;;;;;
22.04.2018 8:00;-7.6;750.1;755.4;0.6;54;Ветер, дующий с северо-северо-востока;2;;;Облаков нет.; ;;;-13.0;;;;;;;50.0;-15.3;Осадков нет;12;;;Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;61.0
22.04.2018 5:00;-12.6;749.5;754.8;0.0;71;Ветер, дующий с северо-северо-востока;2;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";50.0;-16.9;;;;;;
22.04.2018 2:00;-9.5;749.5;754.8;0.3;60;Ветер, дующий с севера;3;;;Облаков нет.; ;;;;;;;;;;20.0;-15.9;;;;;;
21.04.2018 23:00;-7.9;749.2;754.6;0.4;50;Ветер, дующий с северо-востока;2;;;Облаков нет.; ;;;;;;;;;;20.0;-16.5;;;;;;
21.04.2018 20:00;-3.7;748.8;754.0;0.8;36;Ветер, дующий с севера;2;;;100%.; ;;;;-0.4;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";20.0;-16.6;Следы осадков;12;;;;
21.04.2018 17:00;-1.7;748.0;753.1;01.���;36;Ветер, дующий с запада;4;;;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";50.0;-15.0;;;;;;
21.04.2018 14:00;-1.4;746.9;752.0;1.0;49;Ветер, дующий с севера;3;;;60%.;Ливневый снег или ливневый дождь и снег. ;Облака покрывали более половины неба в течение всего соответствующего периода.;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.;20–30%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-10.9;;;;;;
21.04.2018 11:00;-2.0;745.9;751.0;01.���;59;Ветер, дующий с северо-северо-запада;3;;;90  или более, но не 100%;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-9.1;;;;;;
21.04.2018 8:00;-3.1;744.7;749.9;0.9;79;Ветер, дующий с северо-запада;2;;;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;-3.5;;Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.;20–30%.;300-600;Высококучевые просвечивающие, расположенные на одном уровне.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";50.0;-6.2;5.0;12;;;Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;62.0
21.04.2018 5:00;-3.2;743.8;749.0;0.4;93;Ветер, дующий с севера;2;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Снег и/или другие виды твердых осадков;;;Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.;60%.;600-1000;Высокослоистые непросвечивающие или слоисто-дождевые.;;04.���;-4.2;;;;;;
21.04.2018 2:00;-2.4;743.4;748.5;-0.2;94;Ветер, дующий с севера;2;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;1000-1500;Высокослоистые непросвечивающие или слоисто-дождевые.;;03.���;-3.3;;;;;;
20.04.2018 23:00;-1.0;743.6;748.7;-0.6;97;Ветер, дующий с севера;3;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Ливень (ливни).;Снег и/или другие виды твердых осадков;;;"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";100%.;200-300;Высокослоистые непросвечивающие или слоисто-дождевые.;;4.0;-1.4;;;;;;
20.04.2018 20:00;0.1;744.2;749.3;0.4;98;Ветер, дующий с юга;2;;;100%.;Снег непрерывный умеренный в срок наблюдения. ;Ливень (ливни).;Дождь со снегом или другими видами твердых осадков;;05.���;"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";100%.;50-100;Высокослоистые непросвечивающие или слоисто-дождевые.;;01.���;-0.2;2.0;12;;;;
20.04.2018 17:00;1.0;743.8;748.9;01.���;94;Ветер, дующий с северо-северо-запада;2;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Ливень (ливни).;Дождь со снегом или другими видами твердых осадков;;;"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";20–30%.;200-300;Высокослоистые непросвечивающие или слоисто-дождевые.;;03.���;0.2;;;;;;
20.04.2018 14:00;05.���;742.5;747.5;-0.4;51;Ветер, дующий с западо-северо-запада;2;;11;100%.; ;;;;;Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.;70 – 80%.;1000-1500;Высококучевые просвечивающие, расположенные на одном уровне.;;50.0;-3.6;;;;;;
20.04.2018 11:00;02.���;742.9;747.9;-1.0;77;Ветер, дующий с юга;6;10;11;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;50.0;-1.0;;;;;;
20.04.2018 8:00;01.���;743.9;749.0;-1.7;72;Ветер, дующий с юго-юго-запада;8;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;-0.2;;Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.;70 – 80%.;1000-1500;Высокослоистые непросвечивающие или слоисто-дождевые.;;4.0;-3.3;0.5;12;;;Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;59.0
20.04.2018 5:00;-0.2;745.6;750.7;-0.8;88;Ветер, дующий с юго-юго-запада;3;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Снег и/или другие виды твердых осадков;;;Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.;70 – 80%.;1000-1500;Высокослоистые непросвечивающие или слоисто-дождевые.;;9.0;-2.0;;;;;;
20.04.2018 2:00;-0.1;746.4;751.5;-1.0;94;Ветер, дующий с юго-запада;5;;10;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";60%.;300-600;Высокослоистые непросвечивающие или слоисто-дождевые.;;6.0;-1.0;;;;;;
19.04.2018 23:00;1.0;747.4;752.5;-0.9;81;Ветер, дующий с юго-запада;7;10;13;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;1000-1500;;;20.0;-1.9;;;;;;
19.04.2018 20:00;01.���;748.3;753.4;0.1;67;Ветер, дующий с юго-запада;8;13;15;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;3.0;Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.;50%.;600-1000;Высокослоистые непросвечивающие или слоисто-дождевые.;;03.���;-4.0;Следы осадков;12;;;;
19.04.2018 17:00;3.0;748.2;753.2;-0.6;53;Ветер, дующий с юго-запада;7;12;16;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.;20–30%.;600-1000;Высокослоистые непросвечивающие или слоисто-дождевые.;;50.0;-5.8;;;;;;
19.04.2018 14:00;01.���;748.8;753.9;-1.0;69;Ветер, дующий с юго-юго-запада;9;12;14;100%.;Ливневый снег или ливневый дождь и снег. ;Облака покрывали более половины неба в течение всего соответствующего периода.;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.;40%.;1000-1500;Высокослоистые непросвечивающие или слоисто-дождевые.;;50.0;-3.9;;;;;;
19.04.2018 11:00;0.3;749.8;754.9;-1.9;50;Ветер, дующий с юго-запада;7;10;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые просвечивающие.;;50.0;-9.0;;;;;;
19.04.2018 8:00;-3.8;751.7;757.0;-1.5;53;Ветер, дующий с юго-запада;5;;10;100%.; ;;;-9.1;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;50.0;-12.0;Осадков нет;12;;;Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;59.0
19.04.2018 5:00;-6.2;753.2;758.5;-2.3;53;Ветер, дующий с юго-юго-запада;5;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;50.0;-14.3;;;;;;
19.04.2018 2:00;-7.6;755.5;760.7;-2.0;51;Ветер, дующий с юго-юго-запада;5;;;70 – 80%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";20.0;-16.0;;;;;;
18.04.2018 23:00;-8.9;757.5;762.9;-1.6;56;Ветер, дующий с юга;3;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";20.0;-16.2;;;;;;
18.04.2018 20:00;-8.0;759.1;764.5;-1.2;50;Ветер, дующий с юга;3;;;Облаков нет.; ;;;;-5.5;;;;;;20.0;-16.7;Осадков нет;12;;;;
18.04.2018 17:00;-5.7;760.3;765.6;-1.2;42;Ветер, дующий с западо-северо-запада;2;;;70 – 80%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-16.6;;;;;;
18.04.2018 14:00;-7.8;761.5;767.0;-0.3;51;Ветер, дующий с запада;3;;;Облаков нет.; ;;;;;;;;;;50.0;-16.3;;;;;;
18.04.2018 11:00;-11.4;761.8;767.2;0.5;65;Ветер, дующий с западо-юго-запада;4;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-16.7;;;;;;
18.04.2018 8:00;-15.2;761.3;766.9;01.���;80;Ветер, дующий с запада;3;;;20–30%.; ;;;-19.1;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-17.9;Осадков нет;12;;;Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;59.0
18.04.2018 5:00;-18.8;760.2;765.8;01.���;85;Ветер, дующий с запада;1;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";50.0;-20.7;;;;;;
18.04.2018 2:00;-16.9;759.1;764.6;0.5;80;Ветер, дующий с запада;1;;;Облаков нет.; ;;;;;;;;;;20.0;-19.5;;;;;;
17.04.2018 23:00;-15.4;758.6;764.1;0.5;75;Ветер, дующий с запада;1;;;Облаков нет.; ;;;;;;;;;;20.0;-18.8;;;;;;
17.04.2018 20:00;-12.5;758.1;763.5;01.���;60;Ветер, дующий с северо-запада;2;;;20–30%.; ;;;;-8.2;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";20.0;-18.7;Следы осадков;12;;;;
17.04.2018 17:00;-9.8;756.7;762.1;01.���;59;Ветер, дующий с запада;4;;;40%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";50.0;-16.3;;;;;;
17.04.2018 14:00;-8.5;754.9;760.3;01.���;54;Ветер, дующий с запада;5;;;100%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;50%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";50.0;-16.2;;;;;;
17.04.2018 11:00;-10.1;753.4;758.8;2.0;60;Ветер, дующий с западо-северо-запада;4;;;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";50.0;-16.4;;;;;;
17.04.2018 8:00;-11.6;751.4;756.7;01.���;70;Ветер, дующий с севера;3;;;60%.;Состояние неба в общем не изменилось. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;-12.7;;Слоисто-кучевые, образовавшиеся не из кучевых.;60%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-16.0;0.2;12;;;Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;59.0
17.04.2018 5:00;-12.5;750.2;755.5;01.���;80;Ветер, дующий с северо-запада;2;;;100%.;Отдельные кристаллы снега в виде звездочек (с туманом или без него). ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые просвечивающие.;;10.0;-15.2;;;;;;
17.04.2018 2:00;-11.4;749.1;754.4;0.8;70;Ветер, дующий с северо-северо-запада;2;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;9.0;-15.8;;;;;;
16.04.2018 23:00;-9.4;748.3;753.7;0.9;58;Ветер, дующий с севера;2;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;20.0;-16.3;;;;;;
16.04.2018 20:00;-5.8;747.4;752.7;0.9;55;Ветер, дующий с севера;3;;;100%.; ;;;;-1.2;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;40%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";20.0;-13.6;Следы осадков;12;;;;
16.04.2018 17:00;-2.5;746.5;751.6;0.7;51;Ветер, дующий с севера;3;;;100%.; ;;;;;Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.;20–30%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";50.0;-11.3;;;;;;
16.04.2018 14:00;-1.9;745.8;750.9;0.6;51;Ветер, дующий с северо-северо-запада;3;;;100%.;Ливневый снег или ливневый дождь и снег. ;Облака покрывали более половины неба в течение всего соответствующего периода.;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.;50%.;1000-1500;Высококучевые просвечивающие, расположенные на одном уровне.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";50.0;-10.8;;;;;;
16.04.2018 11:00;-2.5;745.2;750.3;0.2;49;Ветер, дующий с севера;2;;;90  или более, но не 100%; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;70 – 80%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";50.0;-11.9;;;;;;
16.04.2018 8:00;-4.8;745.0;750.2;0.0;69;Ветер, дующий с северо-северо-востока;3;;;Облаков нет.; ;;;-7.8;;;;;;;50.0;-9.7;Осадков нет;12;;;Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;60.0
16.04.2018 5:00;-7.7;745.0;750.2;0.1;82;Ветер, дующий с северо-северо-запада;2;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-10.3;;;;;;
16.04.2018 2:00;-5.6;744.9;750.1;-0.2;65;Ветер, дующий с запада;2;;;90  или более, но не 100%; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;90  или более, но не 100%;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;20.0;-11.2;;;;;;
15.04.2018 23:00;-4.1;745.1;750.3;0.2;55;Ветер, дующий с запада;3;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;20.0;-12.0;;;;;;
15.04.2018 20:00;-2.2;744.9;750.0;01.���;48;Ветер, дующий с запада;3;;10;60%.; ;;;;3.0;Слоисто-кучевые, образовавшиеся не из кучевых.;60%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;20.0;-11.9;0.7;12;;;;
15.04.2018 17:00;-1.1;743.7;748.8;01.���;48;Ветер, дующий с запада;5;;11;20–30%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-10.9;;;;;;
15.04.2018 14:00;2.0;741.9;747.0;1.0;71;Ветер, дующий с запада;4;;;20–30%.;Ливневый снег или ливневый дождь и снег. ;Ливень (ливни).;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;;;Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-2.7;;;;;;
15.04.2018 11:00;-0.7;740.9;746.0;-0.6;85;Ветер, дующий с запада;2;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Снег и/или другие виды твердых осадков;;;Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.;70 – 80%.;600-1000;Высокослоистые непросвечивающие или слоисто-дождевые.;;02.���;-2.9;;;;;;
15.04.2018 8:00;-0.5;741.5;746.6;-0.4;94;Ветер, дующий с юго-запада;4;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;-2.7;;"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";50%.;200-300;Высокослоистые непросвечивающие или слоисто-дождевые.;;7.0;-1.4;1.0;12;;;Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;62.0
15.04.2018 5:00;-1.1;741.9;747.0;-0.9;87;Ветер, дующий с западо-юго-запада;5;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";100%.;300-600;Высокослоистые непросвечивающие или слоисто-дождевые.;;6.0;-3.0;;;;;;
15.04.2018 2:00;-2.0;742.8;747.9;-2.0;88;Ветер, дующий с юго-запада;5;;10;100%.;Снег неливневый. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";70 – 80%.;300-600;Высокослоистые непросвечивающие или слоисто-дождевые.;;20.0;-3.8;;;;;;
14.04.2018 23:00;-2.4;744.8;749.9;-2.6;96;Ветер, дующий с юго-запада;4;;;100%.;Снег непрерывный умеренный в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";100%.;100-200;Высокослоистые непросвечивающие или слоисто-дождевые.;;01.���;-3.0;;;;;;
14.04.2018 20:00;-2.0;747.4;752.5;-2.0;69;Ветер, дующий с юго-запада;6;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;-1.8;Слоисто-кучевые, образовавшиеся не из кучевых.;50%.;600-1000;Высокослоистые непросвечивающие или слоисто-дождевые.;;8.0;-7.0;Следы осадков;12;;;;
14.04.2018 17:00;-1.8;749.4;754.5;-1.2;51;Ветер, дующий с запада;4;;;100%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-10.6;;;;;;
14.04.2018 14:00;-3.4;750.6;755.8;-0.1;57;Ветер, дующий с запада;5;;10;20–30%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-10.8;;;;;;
14.04.2018 11:00;-5.9;750.7;756.0;0.7;67;Ветер, дующий с запада;5;10;11;20–30%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-11.2;;;;;;
