n;rooms;price;totsp;livesp;kitsp;dist;metrdist;walk;brick;tel;bal;floor;new;floors;nfloor;floor1;floor2;nw;w;sw;sanuzel__1_razdel__0_sovm_;okrug;price_meter;ln_price_meter;ln_livesp;ln_totsp;ln_kitsp;ln_dist;ln_metrdist;ln_metrdist_walk;ln_livesp_sq;ln_totsp_sq;ln_kitsp_sq;ln_dist_sq;ln_metrdist_sq;ln_floors;ln_nfloor;ln_floors_sq;ln_nfloor_sq;non_livesp;ln_totsp2;ln_totsp3;ln_price_metr
11;1;6400000;27;17;5;7.5;2;1;0;1;1;1;0;4;3;0;0;0;0;1;0;uzao;237037;12.37597;2.833213;3.295837;1.609438;2.014903;0.6931472;0.6931472;8.027098;10.86254;2.590291;4.059834;0.480453;1.386294;1.098612;1.921812;1.206949;5;10.86254065;22.74248075;12.37597153
13;1;7650000;40;23;5;7.5;5;0;1;1;1;0;0;5;5;0;1;0;0;1;1;uzao;191250;12.16134;3.135494;3.688879;1.609438;2.014903;1.609438;0;9.831324;13.60783;2.590291;4.059834;2.590291;1.609438;1.609438;2.590291;2.590291;12;13.60783163;30.82605947;12.16133675
14;1;8000000;34;20;10;6.3;3;1;0;1;0;1;1;12;2;0;0;0;0;1;0;uzao;235294.1;12.36859;2.995732;3.526361;2.302585;1.84055;1.098612;1.098612;8.974412;12.43522;5.301898;3.387623;1.206949;2.484907;0.6931472;6.174761;0.480453;4;12.43521855;26.88493523;12.3685915
15;1;9037553;70;40;12;6.3;7;0;0;1;0;1;0;5;2;0;0;0;0;1;;uzao;129107.9;11.7684;3.688879;4.248495;2.484907;1.84055;1.94591;0;13.60783;18.04971;6.174761;3.387623;3.786566;1.609438;0.6931472;2.590291;0.480453;18;18.04971182;50.1976505;11.76840377
16;1;11470761;70;40;12;6.3;7;0;0;1;0;1;0;5;3;0;0;0;0;1;;uzao;163868;12.00682;3.688879;4.248495;2.484907;1.84055;1.94591;0;13.60783;18.04971;6.174761;3.387623;3.786566;1.609438;1.098612;2.590291;1.206949;18;18.04971182;50.1976505;12.0068165
17;1;5450000;33;19;6;6.3;10;0;1;1;1;1;0;5;3;0;0;0;0;1;0;uzao;165151.5;12.01462;2.944439;3.496508;1.791759;1.84055;2.302585;0;8.669721;12.22557;3.210402;3.387623;5.301898;1.609438;1.098612;2.590291;1.206949;8;12.22556513;25.52746416;12.01461851
18;1;7000000;32;19;6;6.3;10;1;0;1;1;1;0;9;2;0;0;0;0;1;1;uzao;218750;12.29568;2.944439;3.465736;1.791759;1.84055;2.302585;2.302585;8.669721;12.01133;3.210402;3.387623;5.301898;2.197225;0.6931472;4.827796;0.480453;7;12.01132535;25.52746416;12.2956848
19;1;9000000;40;30;10;6.3;7;1;1;1;1;1;0;13;9;0;0;0;0;1;1;uzao;225000;12.32386;3.401197;3.688879;2.302585;1.84055;1.94591;1.94591;11.56814;13.60783;5.301898;3.387623;3.786566;2.564949;2.197225;6.578965;4.827796;0;13.60783163;39.34553982;12.32385568
20;1;9660000;33;18;6;6.3;1;1;1;1;1;1;0;12;6;0;0;0;0;1;1;uzao;292727.3;12.587;2.890372;3.496508;1.791759;1.84055;0;0;8.354249;12.22557;3.210402;3.387623;0;2.484907;1.791759;6.174761;3.210402;9;12.22556513;24.14688508;12.58699674
21;1;7200000;35;20;8;6.3;15;1;0;1;1;1;0;15;14;0;0;0;0;1;0;uzao;205714.3;12.23424;2.995732;3.555348;2.079442;1.84055;2.70805;2.70805;8.974412;12.6405;4.324077;3.387623;7.333536;2.70805;2.639057;7.333536;6.964624;7;12.64049984;26.88493523;12.23424359
22;1;15000000;68;46;10;7.5;10;0;0;1;0;1;1;32;4;0;0;1;0;0;;szao;220588.2;12.30405;3.828641;4.219508;2.302585;2.014903;2.302585;0;14.65849;17.80424;5.301898;4.059834;5.301898;3.465736;1.386294;12.01133;1.921812;12;17.80424527;56.12212055;12.30405289
23;1;16200000;68;46;10;7.5;10;0;0;1;0;1;1;32;25;0;0;1;0;0;;szao;238235.3;12.38101;3.828641;4.219508;2.302585;2.014903;2.302585;0;14.65849;17.80424;5.301898;4.059834;5.301898;3.465736;3.218876;12.01133;10.36116;12;17.80424527;56.12212055;12.38101412
24;1;16400000;67;45;10;7.5;10;0;0;1;0;1;1;32;13;0;0;1;0;0;;szao;244776.1;12.4081;3.806663;4.204693;2.302585;2.014903;2.302585;0;14.49068;17.67944;5.301898;4.059834;5.301898;3.465736;2.564949;12.01133;6.578965;12;17.67944002;55.16112538;12.40809919
25;1;16400000;68;46;10;7.5;10;0;0;1;0;1;1;32;15;0;0;1;0;0;;szao;241176.5;12.39328;3.828641;4.219508;2.302585;2.014903;2.302585;0;14.65849;17.80424;5.301898;4.059834;5.301898;3.465736;2.70805;12.01133;7.333536;12;17.80424527;56.12212055;12.39328431
26;1;17500000;67;45;10;7.5;10;0;0;1;0;1;1;32;24;0;0;1;0;0;;szao;261194;12.47302;3.806663;4.204693;2.302585;2.014903;2.302585;0;14.49068;17.67944;5.301898;4.059834;5.301898;3.465736;3.178054;12.01133;10.10003;12;17.67944002;55.16112538;12.47301871
27;1;8800000;34;19;6;7.5;10;1;1;1;1;1;1;9;4;0;0;1;0;0;0;szao;258823.5;12.4639;2.944439;3.526361;1.791759;2.014903;2.302585;2.302585;8.669721;12.43522;3.210402;4.059834;5.301898;2.197225;1.386294;4.827796;1.921812;9;12.43521855;25.52746416;12.46390164
28;1;7600000;36;20;10;7.5;10;1;0;1;0;1;1;12;3;0;0;1;0;0;0;szao;211111.1;12.26014;2.995732;3.583519;2.302585;2.014903;2.302585;2.302585;8.974412;12.84161;5.301898;4.059834;5.301898;2.484907;1.098612;6.174761;1.206949;6;12.84160798;26.88493523;12.26013981
29;1;15000000;68;38;12;7.5;10;1;0;1;0;1;0;32;4;0;0;1;0;0;;szao;220588.2;12.30405;3.637586;4.219508;2.484907;2.014903;2.302585;2.302585;13.23203;17.80424;6.174761;4.059834;5.301898;3.465736;1.386294;12.01133;1.921812;18;17.80424527;48.13266036;12.30405289
30;1;8800000;34;19;6;7.5;10;1;1;0;1;1;0;9;4;0;0;1;0;0;0;szao;258823.5;12.4639;2.944439;3.526361;1.791759;2.014903;2.302585;2.302585;8.669721;12.43522;3.210402;4.059834;5.301898;2.197225;1.386294;4.827796;1.921812;9;12.43521855;25.52746416;12.46390164
31;1;7500000;30;17;5;7.5;2;1;1;1;1;1;0;5;55;0;0;1;0;0;;szao;250000;12.42922;2.833213;3.401197;1.609438;2.014903;0.6931472;0.6931472;8.027098;11.56814;2.590291;4.059834;0.480453;1.609438;4.007333;2.590291;16.05872;8;11.56814363;22.74248075;12.4292162
32;1;7600000;36;20;10;7.5;10;1;0;1;0;1;0;12;3;0;0;1;0;0;0;szao;211111.1;12.26014;2.995732;3.583519;2.302585;2.014903;2.302585;2.302585;8.974412;12.84161;5.301898;4.059834;5.301898;2.484907;1.098612;6.174761;1.206949;6;12.84160798;26.88493523;12.26013981
33;1;11650000;45;22;11;7.5;5;1;0;0;0;1;0;8;2;0;0;1;0;0;1;szao;258888.9;12.46415;3.091043;3.806663;2.397895;2.014903;1.609438;1.609438;9.554543;14.49068;5.749902;4.059834;2.590291;2.079442;0.6931472;4.324077;0.480453;12;14.49067931;29.53349942;12.46415429
34;1;7400000;31;18;5;7.5;4;1;1;0;1;1;0;10;8;0;0;1;0;0;0;szao;238709.7;12.383;2.890372;3.433987;1.609438;2.014903;1.386294;1.386294;8.354249;11.79227;2.590291;4.059834;1.921812;2.302585;2.079442;5.301898;4.324077;8;11.79226812;24.14688508;12.38300345
35;1;12800000;52;24;14;7.5;5;1;1;1;1;1;0;20;3;0;0;1;0;0;;szao;246153.8;12.41371;3.178054;3.951244;2.639057;2.014903;1.609438;1.609438;10.10003;15.61233;6.964624;4.059834;2.590291;2.995732;1.098612;8.974412;1.206949;14;15.61232692;32.09842679;12.41371182
36;1;10500000;40;22;9;7.5;7;1;1;1;0;1;0;10;7;0;0;1;0;0;0;szao;262500;12.47801;3.091043;3.688879;2.197225;2.014903;1.94591;1.94591;9.554543;13.60783;4.827796;4.059834;3.786566;2.302585;1.94591;5.301898;3.786566;9;13.60783163;29.53349942;12.47800636
37;1;6300000;30;18;6;7.5;5;1;0;1;0;1;1;9;2;0;0;0;1;0;;zao;210000;12.25486;2.890372;3.401197;1.791759;2.014903;1.609438;1.609438;8.354249;11.56814;3.210402;4.059834;2.590291;2.197225;0.6931472;4.827796;0.480453;6;11.56814363;24.14688508;12.25486281
38;1;6800000;34;19;9;7.5;5;1;0;1;1;1;0;16;2;0;0;0;1;0;0;zao;200000;12.20607;2.944439;3.526361;2.197225;2.014903;1.609438;1.609438;8.669721;12.43522;4.827796;4.059834;2.590291;2.772589;0.6931472;7.687248;0.480453;6;12.43521855;25.52746416;12.20607265
39;1;8250000;45;18;12;7.5;3;1;1;1;1;0;0;12;1;1;0;0;1;0;0;zao;183333.3;12.11906;2.890372;3.806663;2.484907;2.014903;1.098612;1.098612;8.354249;14.49068;6.174761;4.059834;1.206949;2.484907;0;6.174761;0;15;14.49067931;24.14688508;12.11906109
40;1;7000000;36;19;6;5;5;1;1;1;1;1;0;5;4;0;0;1;0;0;0;szao;194444.4;12.1779;2.944439;3.583519;1.791759;1.609438;1.609438;1.609438;8.669721;12.84161;3.210402;2.590291;2.590291;1.609438;1.386294;2.590291;1.921812;11;12.84160798;25.52746416;12.17790154
41;1;5750000;30;17;6;5;13;1;0;0;0;0;0;5;5;0;1;1;0;0;0;szao;191666.7;12.16351;2.833213;3.401197;1.791759;1.609438;2.564949;2.564949;8.027098;11.56814;3.210402;2.590291;6.578965;1.609438;1.609438;2.590291;2.590291;7;11.56814363;22.74248075;12.16351321
42;1;8360000;35;21;6;5;5;0;0;1;0;1;1;37;24;0;0;1;0;0;;szao;238857.1;12.38362;3.044523;3.555348;1.791759;1.609438;1.609438;0;9.269117;12.6405;3.210402;2.590291;2.590291;3.610918;3.178054;13.03873;10.10003;8;12.64049984;28.2200343;12.38362074
43;1;10950000;38;21;11;5;5;0;0;1;0;1;1;37;8;0;0;1;0;0;;szao;288157.9;12.57126;3.044523;3.637586;2.397895;1.609438;1.609438;0;9.269117;13.23203;5.749902;2.590291;2.590291;3.610918;2.079442;13.03873;4.324077;6;13.23203307;28.2200343;12.57126387
44;1;9700000;44;35;8;5;5;0;0;1;0;1;1;37;27;0;0;1;0;0;;szao;220454.5;12.30345;3.555348;3.78419;2.079442;1.609438;1.609438;0;12.6405;14.32009;4.324077;2.590291;2.590291;3.610918;3.295837;13.03873;10.86254;1;14.32009119;44.9413766;12.3034466
45;1;11525000;45;35;8;5;5;0;0;1;0;1;1;37;15;0;0;1;0;0;;szao;256111.1;12.45337;3.555348;3.806663;2.079442;1.609438;1.609438;0;12.6405;14.49068;4.324077;2.590291;2.590291;3.610918;2.70805;13.03873;7.333536;2;14.49067931;44.9413766;12.45336661
46;1;10950000;55;47;8;5;5;0;0;1;0;1;1;37;8;0;0;1;0;0;;szao;199090.9;12.20152;3.850147;4.007333;2.079442;1.609438;1.609438;0;14.82364;16.05872;4.324077;2.590291;2.590291;3.610918;2.079442;13.03873;4.324077;0;16.05871926;57.07318873;12.20151678
47;1;12260000;55;47;8;5;5;0;0;1;0;1;1;37;10;0;0;1;0;0;;szao;222909.1;12.31452;3.850147;4.007333;2.079442;1.609438;1.609438;0;14.82364;16.05872;4.324077;2.590291;2.590291;3.610918;2.302585;13.03873;5.301898;0;16.05871926;57.07318873;12.31451934
48;1;10232000;56;45;8;5;5;0;0;1;0;1;1;37;23;0;0;1;0;0;;szao;182714.3;12.11568;3.806663;4.025352;2.079442;1.609438;1.609438;0;14.49068;16.20345;4.324077;2.590291;2.590291;3.610918;3.135494;13.03873;9.831324;3;16.20345623;55.16112538;12.11567901
49;1;11668000;75;65;10;5;5;0;0;1;0;1;1;37;6;0;0;1;0;0;;szao;155573.3;11.95487;4.174387;4.317488;2.302585;1.609438;1.609438;0;17.42551;18.64071;5.301898;2.590291;2.590291;3.610918;1.791759;13.03873;3.210402;0;18.64070361;72.74082327;11.95487228
50;1;12400000;35;21;6;5;5;0;0;1;0;1;1;35;7;0;0;1;0;0;;szao;354285.7;12.77786;3.044523;3.555348;1.791759;1.609438;1.609438;0;9.269117;12.6405;3.210402;2.590291;2.590291;3.555348;1.94591;12.6405;3.786566;8;12.64049984;28.2200343;12.77785893
51;1;14298000;53;33;10;5;5;0;0;1;0;1;1;37;11;0;0;1;0;0;;szao;269773.6;12.50534;3.496508;3.970292;2.302585;1.609438;1.609438;0;12.22557;15.76322;5.301898;2.590291;2.590291;3.610918;2.397895;13.03873;5.749902;10;15.76321788;42.74678091;12.50533837
52;1;11300000;55;47;8;5;5;0;0;1;0;1;1;37;8;0;0;1;0;0;;szao;205454.5;12.23298;3.850147;4.007333;2.079442;1.609438;1.609438;0;14.82364;16.05872;4.324077;2.590291;2.590291;3.610918;2.079442;13.03873;4.324077;0;16.05871926;57.07318873;12.23297988
53;1;9810000;17;13;2;5;5;0;0;1;0;1;1;37;12;0;0;1;0;0;;szao;577058.8;13.2657;2.564949;2.833213;0.6931472;1.609438;1.609438;0;6.578965;8.027098;0.480453;2.590291;2.590291;3.610918;2.484907;13.03873;6.174761;2;8.027097853;16.87471258;13.26569945
54;1;10200000;17;13;2;5;5;0;0;1;0;1;1;37;13;0;0;1;0;0;;szao;600000;13.30468;2.564949;2.833213;0.6931472;1.609438;1.609438;0;6.578965;8.027098;0.480453;2.590291;2.590291;3.610918;2.564949;13.03873;6.578965;2;8.027097853;16.87471258;13.30468493
55;1;10076000;18;13;2;5;5;0;0;1;0;1;1;37;34;0;0;1;0;0;;szao;559777.8;13.2353;2.564949;2.890372;0.6931472;1.609438;1.609438;0;6.578965;8.354249;0.480453;2.590291;2.590291;3.610918;3.526361;13.03873;12.43522;3;8.354248899;16.87471258;13.2352952
56;1;9810000;20;16;3;5;5;0;0;1;0;1;1;37;30;0;0;1;0;0;;szao;490500;13.10318;2.772589;2.995732;1.098612;1.609438;1.609438;0;7.687248;8.974412;1.206949;2.590291;2.590291;3.610918;3.401197;13.03873;11.56814;1;8.974411855;21.31357773;13.10318056
57;1;10900000;20;16;3;5;5;0;0;1;0;1;1;37;34;0;0;1;0;0;;szao;545000;13.20854;2.772589;2.995732;1.098612;1.609438;1.609438;0;7.687248;8.974412;1.206949;2.590291;2.590291;3.610918;3.526361;13.03873;12.43522;1;8.974411855;21.31357773;13.20854107
58;1;10650000;25;18;5;5;5;0;0;1;0;1;1;37;11;0;0;1;0;0;;szao;426000;12.96219;2.890372;3.218876;1.609438;1.609438;1.609438;0;8.354249;10.36116;2.590291;2.590291;2.590291;3.610918;2.397895;13.03873;5.749902;2;10.36116158;24.14688508;12.96219463
59;1;11424000;25;18;5;5;5;0;0;1;0;1;1;37;12;0;0;1;0;0;;szao;456960;13.03235;2.890372;3.218876;1.609438;1.609438;1.609438;0;8.354249;10.36116;2.590291;2.590291;2.590291;3.610918;2.484907;13.03873;6.174761;2;10.36116158;24.14688508;13.03235114
60;1;11474000;25;18;5;5;5;0;0;1;0;1;1;37;29;0;0;1;0;0;;szao;458960;13.03672;2.890372;3.218876;1.609438;1.609438;1.609438;0;8.354249;10.36116;2.590291;2.590291;2.590291;3.610918;3.367296;13.03873;11.33868;2;10.36116158;24.14688508;13.03671834
61;1;11576000;25;18;5;5;5;0;0;1;0;1;1;37;33;0;0;1;0;0;;szao;463040;13.04557;2.890372;3.218876;1.609438;1.609438;1.609438;0;8.354249;10.36116;2.590291;2.590291;2.590291;3.610918;3.496508;13.03873;12.22557;2;10.36116158;24.14688508;13.04556872
62;1;9810000;26;15;6;5;5;0;0;1;0;1;1;37;14;0;0;1;0;0;;szao;377307.7;12.84082;2.70805;3.258096;1.791759;1.609438;1.609438;0;7.333536;10.61519;3.210402;2.590291;2.590291;3.610918;2.639057;13.03873;6.964624;5;10.61519305;19.85958335;12.84081631
63;1;10775000;26;15;6;5;5;0;0;1;0;1;1;37;24;0;0;1;0;0;;szao;414423.1;12.93464;2.70805;3.258096;1.791759;1.609438;1.609438;0;7.333536;10.61519;3.210402;2.590291;2.590291;3.610918;3.178054;13.03873;10.10003;5;10.61519305;19.85958335;12.93464271
64;1;11474000;26;15;6;5;5;0;0;1;0;1;1;37;14;0;0;1;0;0;;szao;441307.7;12.9975;2.70805;3.258096;1.791759;1.609438;1.609438;0;7.333536;10.61519;3.210402;2.590291;2.590291;3.610918;2.639057;13.03873;6.964624;5;10.61519305;19.85958335;12.99749764
65;1;11578000;26;15;6;5;5;0;0;1;0;1;1;37;32;0;0;1;0;0;;szao;445307.7;13.00652;2.70805;3.258096;1.791759;1.609438;1.609438;0;7.333536;10.61519;3.210402;2.590291;2.590291;3.610918;3.465736;13.03873;12.01133;5;10.61519305;19.85958335;13.00652078
66;1;11578000;26;15;6;5;5;0;0;1;0;1;1;37;28;0;0;1;0;0;;szao;445307.7;13.00652;2.70805;3.258096;1.791759;1.609438;1.609438;0;7.333536;10.61519;3.210402;2.590291;2.590291;3.610918;3.332205;13.03873;11.10359;5;10.61519305;19.85958335;13.00652078
67;1;11211000;42;27;10;5;5;0;0;1;0;1;1;32;30;0;0;1;0;0;;szao;266928.6;12.49474;3.295837;3.73767;2.302585;1.609438;1.609438;0;10.86254;13.97017;5.301898;2.590291;2.590291;3.465736;3.401197;12.01133;11.56814;5;13.97017418;35.80116192;12.49473649
68;1;10722000;44;35;8;5;5;0;0;1;0;1;1;32;5;0;0;1;0;0;;szao;243681.8;12.40362;3.555348;3.78419;2.079442;1.609438;1.609438;0;12.6405;14.32009;4.324077;2.590291;2.590291;3.465736;1.609438;12.01133;2.590291;1;14.32009119;44.9413766;12.40361855
69;1;9810000;45;35;8;5;5;0;0;1;0;1;1;32;6;0;0;1;0;0;;szao;218000;12.29225;3.555348;3.806663;2.079442;1.609438;1.609438;0;12.6405;14.49068;4.324077;2.590291;2.590291;3.465736;1.791759;12.01133;3.210402;2;14.49067931;44.9413766;12.29225034
70;1;10525000;45;35;8;5;5;0;0;1;0;1;1;32;2;0;0;1;0;0;;szao;233888.9;12.3626;3.555348;3.806663;2.079442;1.609438;1.609438;0;12.6405;14.49068;4.324077;2.590291;2.590291;3.465736;0.6931472;12.01133;0.480453;2;14.49067931;44.9413766;12.3626015
71;1;11267000;53;33;10;5;5;0;0;1;0;1;1;32;7;0;0;1;0;0;;szao;212584.9;12.2671;3.496508;3.970292;2.302585;1.609438;1.609438;0;12.22557;15.76322;5.301898;2.590291;2.590291;3.465736;1.94591;12.01133;3.786566;10;15.76321788;42.74678091;12.26709672
72;1;12596000;54;28;15;5;5;0;0;1;0;1;1;32;11;0;0;1;0;0;;szao;233259.3;12.35991;3.332205;3.988984;2.70805;1.609438;1.609438;0;11.10359;15.91199;7.333536;2.590291;2.590291;3.465736;2.397895;12.01133;5.749902;11;15.91199372;36.99942234;12.35990599
73;1;14303000;54;28;15;5;5;0;0;1;0;1;1;32;11;0;0;1;0;0;;szao;264870.4;12.487;3.332205;3.988984;2.70805;1.609438;1.609438;0;11.10359;15.91199;7.333536;2.590291;2.590291;3.465736;2.397895;12.01133;5.749902;11;15.91199372;36.99942234;12.48699593
74;1;14449700;54;28;15;5;5;0;0;1;0;1;1;32;11;0;0;1;0;0;;szao;267587;12.4972;3.332205;3.988984;2.70805;1.609438;1.609438;0;11.10359;15.91199;7.333536;2.590291;2.590291;3.465736;2.397895;12.01133;5.749902;11;15.91199372;36.99942234;12.49720003
75;1;10650000;55;47;8;5;5;0;0;1;0;1;1;32;3;0;0;1;0;0;;szao;193636.4;12.17374;3.850147;4.007333;2.079442;1.609438;1.609438;0;14.82364;16.05872;4.324077;2.590291;2.590291;3.465736;1.098612;12.01133;1.206949;0;16.05871926;57.07318873;12.17373745
76;1;11950000;55;47;8;5;5;0;0;1;0;1;1;32;17;0;0;1;0;0;;szao;217272.7;12.28891;3.850147;4.007333;2.079442;1.609438;1.609438;0;14.82364;16.05872;4.324077;2.590291;2.590291;3.465736;2.833213;12.01133;8.027098;0;16.05871926;57.07318873;12.28890853
77;1;11900000;55;36;11;5;7;0;1;1;0;0;1;32;32;0;1;1;0;0;;szao;216363.6;12.28472;3.583519;4.007333;2.397895;1.609438;1.94591;0;12.84161;16.05872;5.749902;2.590291;3.786566;3.465736;3.465736;12.01133;12.01133;8;16.05871926;46.0181454;12.2847156
78;1;11900000;56;40;11;5;7;0;1;1;0;1;1;32;29;0;0;1;0;0;;szao;212500;12.2667;3.688879;4.025352;2.397895;1.609438;1.94591;0;13.60783;16.20345;5.749902;2.590291;3.786566;3.465736;3.367296;12.01133;11.33868;5;16.20345623;50.1976505;12.26669727
79;1;10792000;26;15;6;5;5;0;0;1;0;1;1;37;17;0;0;1;0;0;;szao;415076.9;12.93622;2.70805;3.258096;1.791759;1.609438;1.609438;0;7.333536;10.61519;3.210402;2.590291;2.590291;3.610918;2.833213;13.03873;8.027098;5;10.61519305;19.85958335;12.93621908
80;1;9776000;44;35;8;5;2;1;0;1;0;1;1;38;27;0;0;1;0;0;;szao;222181.8;12.31125;3.555348;3.78419;2.079442;1.609438;0.6931472;0.6931472;12.6405;14.32009;4.324077;2.590291;0.480453;3.637586;3.295837;13.23203;10.86254;1;14.32009119;44.9413766;12.31125124
81;1;10650000;55;18;12;5;3;1;0;0;0;1;1;37;8;0;0;1;0;0;1;szao;193636.4;12.17374;2.890372;4.007333;2.484907;1.609438;1.098612;1.098612;8.354249;16.05872;6.174761;2.590291;1.206949;3.610918;2.079442;13.03873;4.324077;25;16.05871926;24.14688508;12.17373745
82;1;11230000;59;51;8;5;5;1;0;1;0;1;1;38;13;0;0;1;0;0;;szao;190339;12.15656;3.931826;4.077538;2.079442;1.609438;1.609438;1.609438;15.45925;16.62631;4.324077;2.590291;2.590291;3.637586;2.564949;13.23203;6.578965;0;16.62631161;60.78308645;12.15656197
83;1;9686000;44;34;8;5;2;1;0;1;0;1;1;38;21;0;0;1;0;0;;szao;220136.4;12.302;3.526361;3.78419;2.079442;1.609438;0.6931472;0.6931472;12.43522;14.32009;4.324077;2.590291;0.480453;3.637586;3.044523;13.23203;9.269117;2;14.32009119;43.85106381;12.30200263
84;1;11200000;45;34;9;5;2;1;0;1;0;1;1;38;30;0;0;1;0;0;;szao;248888.9;12.42476;3.526361;3.806663;2.197225;1.609438;0.6931472;0.6931472;12.43522;14.49068;4.827796;2.590291;0.480453;3.637586;3.401197;13.23203;11.56814;2;14.49067931;43.85106381;12.42476189
85;1;9500000;45;35;8;5;2;1;0;1;0;1;1;38;7;0;0;1;0;0;;szao;211111.1;12.26014;3.555348;3.806663;2.079442;1.609438;0.6931472;0.6931472;12.6405;14.49068;4.324077;2.590291;0.480453;3.637586;1.94591;13.23203;3.786566;2;14.49067931;44.9413766;12.26013981
86;1;10730000;55;45;8;5;2;1;0;1;0;1;1;38;8;0;0;1;0;0;;szao;195090.9;12.18122;3.806663;4.007333;2.079442;1.609438;0.6931472;0.6931472;14.49068;16.05872;4.324077;2.590291;0.480453;3.637586;2.079442;13.23203;4.324077;2;16.05871926;55.16112538;12.18122088
87;1;10862000;56;45;8;5;2;1;0;1;0;1;1;38;9;0;0;1;0;0;;szao;193964.3;12.17543;3.806663;4.025352;2.079442;1.609438;0.6931472;0.6931472;14.49068;16.20345;4.324077;2.590291;0.480453;3.637586;2.197225;13.23203;4.827796;3;16.20345623;55.16112538;12.1754294
88;1;11730000;59;50;9;5;2;1;0;1;0;1;1;38;13;0;0;1;0;0;;szao;198813.6;12.20012;3.912023;4.077538;2.197225;1.609438;0.6931472;0.6931472;15.30392;16.62631;4.827796;2.590291;0.480453;3.637586;2.564949;13.23203;6.578965;0;16.62631161;59.86930274;12.20012298
89;1;9686000;44;35;9;5;2;1;1;1;0;1;1;37;21;0;0;1;0;0;;szao;220136.4;12.302;3.555348;3.78419;2.197225;1.609438;0.6931472;0.6931472;12.6405;14.32009;4.827796;2.590291;0.480453;3.610918;3.044523;13.03873;9.269117;0;14.32009119;44.9413766;12.30200263
