ID фианита,Вес (карат),Качество огранки,Цвет,Оценка чистоты,Высота на средний диаметр (%),Ширина площадки на средний диаметр (%),Длина (мм),Ширина (мм),Высота (мм),Стоимость
87,7357,0.54,Идеальное,Белый,"Очень мелкие включения, видимые без увеличения",62.0,53.9,5.22,5.24,3.24,1745
88,16986,0.93,Идеальное,Белый,"Мелкие включения, видимые без увеличения",60.9,57.0,6.29,6.25,3.82,3521
89,17783,0.5,Очень хорошее,Белый,"Очень мелкие включения, не видимые без увеличения",63.4,57.0,5.06,5.1,3.22,1715
90,21350,0.9,Очень хорошее,Розовый,"Мелкие включения, видимые без увеличения",63.2,58.0,6.09,6.12,3.86,3318
91,3715,0.55,Идеальное,Голубой,"Мелкие включения, видимые без увеличения",60.8,56.0,5.3,5.33,3.23,1584
92,11382,0.51,Почти идеальное,Белый,"Мелкие включения, видимые без увеличения",62.4,58.0,5.13,5.07,3.18,1312
93,20906,0.57,Отличное,Шампань,"Очень мелкие включения, видимые без увеличения",63.0,59.0,5.25,5.29,3.32,1654
94,3016,0.31,Почти идеальное,Белый,"Очень мелкие включения, не видимые без увеличения",61.2,59.0,4.32,4.34,2.65,816
95,3115,0.4,Идеальное,Шампань,"Очень мелкие включения, не видимые без увеличения",61.5,56.0,4.79,4.74,2.93,1238
96,20519,0.76,Очень хорошее,Зеленый,"Мелкие включения, видимые без увеличения",64.1,59.0,5.75,5.73,3.68,2016
97,24237,1.0,Почти идеальное,Розовый,"Мелкие включения, видимые без увеличения",60.8,59.0,6.45,6.41,3.91,4234
98,17690,0.44,Идеальное,Зеленый,"Очень мелкие включения, не видимые без увеличения",60.9,56.0,4.9,4.96,3.0,1145
99,26856,0.52,Идеальное,Белый,"Очень мелкие включения, видимые без увеличения",61.9,55.5,5.13,5.16,3.18,1803
100,25144,0.7,Идеальное,Розовый,"Мелкие включения, видимые без увеличения",62.0,55.0,5.72,5.7,3.54,2415
101,18527,0.72,Идеальное,Желтый,"Очень мелкие включения, не видимые без увеличения",62.5,56.0,5.71,5.74,3.58,2249
102,604,0.7,Отличное,Аква,"Мелкие включения, видимые без увеличения",62.1,56.0,5.65,5.69,3.52,2686
103,4694,0.54,Идеальное,,"Очень мелкие включения, не видимые без увеличения",62.1,54.0,5.24,5.26,3.26,2180
104,11685,0.7,Идеальное,Розовый,"Мелкие включения, видимые без увеличения",62.0,55.0,5.69,5.73,3.54,2259
105,23932,0.7,Отличное,Розовый,"Мелкие включения, видимые без увеличения",62.6,56.0,5.66,5.72,3.56,2196
106,22084,0.5,Хорошее,Шампань,"Мелкие включения, видимые без увеличения",65.1,58.0,5.04,4.94,3.25,1114
107,11603,0.7,Идеальное,Шампань,"Мелкие включения, видимые без увеличения",62.9,56.0,5.66,5.6,3.54,2100
108,4859,0.5,Отличное,Розовый,"Мелкие включения, видимые без увеличения",62.3,60.0,5.07,5.11,3.17,1250
109,25662,0.78,Отличное,Шампань,"Очень мелкие включения, видимые без увеличения",61.5,60.0,5.86,5.92,3.62,3898
110,7955,1.21,Хорошее,Зеленый,"Крупные включения, видимые без увеличения",65.0,58.0,6.65,6.59,4.3,2396
111,12465,0.41,Почти идеальное,Шампань,"Мелкие включения, видимые без увеличения",62.1,58.0,4.73,4.77,2.95,683
112,13326,1.01,Почти идеальное,,"Мелкие включения, видимые без увеличения",63.0,59.0,6.38,6.32,4.0,3923
113,11278,0.3,Идеальное,Шампань,"Мелкие включения, видимые без увеличения",61.7,58.0,4.29,4.3,2.65,499
114,26579,0.3,Отличное,,"Очень мелкие включения, не видимые без увеличения",63.0,56.0,4.29,4.31,2.71,754
115,18126,0.7,Почти идеальное,,"Мелкие включения, видимые без увеличения",62.9,61.0,5.57,5.53,3.49,1942
116,21125,0.63,Идеальное,Голубой,"Очень мелкие включения, видимые без увеличения",62.1,54.0,5.51,5.54,3.43,1641
117,15165,0.7,Идеальное,Белый,"Очень мелкие включения, видимые без увеличения",61.4,59.0,5.64,5.73,3.49,2780
118,5970,0.7,Отличное,Белый,"Мелкие включения, видимые без увеличения",60.7,58.0,5.74,5.8,3.5,2141
119,11814,0.71,Отличное,Желтый,"Очень мелкие включения, видимые без увеличения",62.1,58.0,5.71,5.73,3.55,1675
120,11577,0.31,Идеальное,Шампань,"Очень мелкие включения, не видимые без увеличения",61.7,56.0,4.36,4.33,2.68,988
121,466,0.31,Идеальное,,"Очень мелкие включения, не видимые без увеличения",62.6,53.0,4.35,4.41,2.74,687
122,22605,0.3,Идеальное,Белый,Чистый,62.0,54.0,4.33,4.35,2.69,863
123,2279,1.01,Почти идеальное,Розовый,"Мелкие включения, видимые без увеличения",62.7,58.0,6.38,6.32,3.98,3733
124,1910,0.95,Почти идеальное,Белый,"Мелкие включения, видимые без увеличения",59.8,60.0,6.36,6.34,3.8,3181
125,18671,0.51,Идеальное,Белый,"Очень мелкие включения, видимые без увеличения",61.7,55.0,5.14,5.17,3.18,1656
126,4939,0.5,Идеальное,Белый,"Очень мелкие включения, видимые без увеличения",62.0,55.0,5.05,5.11,3.15,1624
127,17401,0.9,Почти идеальное,Зеленый,"Очень мелкие включения, не видимые без увеличения",60.9,59.0,6.25,6.22,3.8,3730
128,2199,0.5,Идеальное,Розовый,"Очень мелкие включения, не видимые без увеличения",62.6,53.1,5.08,5.11,3.19,2145
129,19238,0.71,Идеальное,Шампань,"Очень мелкие включения, видимые без увеличения",62.5,55.0,5.67,5.73,3.56,3247
130,6782,0.32,Идеальное,Шампань,Чистый,62.6,55.0,4.38,4.41,2.75,1095
131,7070,1.01,Очень хорошее,Аква,"Мелкие включения, видимые без увеличения",63.1,54.0,6.37,6.43,4.04,4260
132,8634,0.5,Отличное,Розовый,"Мелкие включения, видимые без увеличения",63.2,57.0,5.03,5.06,3.19,1220
133,3941,0.35,Отличное,Аква,"Мелкие включения, видимые без увеличения",62.4,57.0,4.47,4.5,2.8,487
134,14287,,Отличное,Зеленый,"Очень мелкие включения, видимые без увеличения",63.0,53.0,4.26,4.31,2.7,473
135,21580,0.47,Идеальное,Голубой,"Очень мелкие включения, видимые без увеличения",62.7,55.0,5.08,4.95,3.15,1058
136,6808,0.34,Идеальное,Шампань,"Очень мелкие включения, видимые без увеличения",62.0,56.0,4.52,4.48,2.79,1033
137,26737,0.53,Идеальное,Голубой,"Очень мелкие включения, видимые без увеличения",62.3,54.0,5.18,5.22,3.24,1449
138,26748,0.65,Почти идеальное,Аква,"Мелкие включения, видимые без увеличения",60.5,58.0,5.61,5.57,3.38,2134
139,20999,0.3,Идеальное,Аква,"Очень мелкие включения, видимые без увеличения",61.8,55.0,4.27,4.3,2.65,736
140,1081,0.23,Отличное,Шампань,"Очень мелкие включения, не видимые без увеличения",62.7,55.0,3.9,3.95,2.46,505
141,196,0.71,Идеальное,Шампань,"Очень мелкие включения, видимые без увеличения",62.0,55.0,5.72,5.77,3.56,3421
142,17960,0.56,Почти идеальное,Розовый,"Мелкие включения, видимые без увеличения",62.7,59.0,5.27,5.22,3.29,2016
143,14927,1.02,Почти идеальное,Аква,"Крупные включения, видимые без увеличения",61.4,60.0,6.47,6.42,3.96,3838
144,9786,0.91,Отличное,Голубой,"Очень мелкие включения, видимые без увеличения",63.7,57.0,6.1,6.12,3.89,3924
145,14178,0.35,Идеальное,Голубой,"Мелкие включения, видимые без увеличения",61.5,56.0,4.56,4.58,2.81,523
146,12087,0.33,Идеальное,Голубой,"Мелкие включения, видимые без увеличения",60.6,56.0,4.46,4.49,2.72,564
147,11705,0.57,Отличное,Белый,"Очень мелкие включения, видимые без увеличения",62.1,57.0,5.27,5.3,3.28,1608
148,25863,0.9,Хорошее,Белый,"Мелкие включения, видимые без увеличения",72.9,54.0,5.74,5.67,4.16,2691
149,26198,1.0,Идеальное,Шампань,"Мелкие включения, видимые без увеличения",62.3,57.0,6.33,6.28,3.93,4077
150,18154,0.3,Очень хорошее,Голубой,"Мелкие включения, видимые без увеличения",63.8,55.0,4.26,4.2,2.7,554
151,8546,0.32,Идеальное,Аква,"Мелкие включения, видимые без увеличения",62.8,57.0,4.38,4.35,2.74,612
152,7393,0.7,Отличное,Белый,"Очень мелкие включения, не видимые без увеличения",59.3,62.0,5.78,5.82,3.44,2905
153,22360,,Почти идеальное,Розовый,"Очень мелкие включения, видимые без увеличения",59.5,58.0,5.96,5.94,3.54,3211
154,5685,0.96,Хорошее,Шампань,"Мелкие включения, видимые без увеличения",53.1,63.0,6.73,6.65,3.55,2815
155,8310,1.04,Почти идеальное,Шампань,"Мелкие включения, видимые без увеличения",61.0,60.0,6.57,6.52,3.99,4240
156,9819,0.35,Идеальное,Розовый,"Очень мелкие включения, видимые без увеличения",61.4,54.0,4.58,4.54,2.8,906
157,18823,0.46,Отличное,Розовый,"Мелкие включения, видимые без увеличения",61.6,55.0,4.98,5.02,3.08,859
158,8450,0.73,Почти идеальное,Аква,"Очень мелкие включения, видимые без увеличения",60.0,58.0,5.9,5.86,3.53,3557
159,20454,0.41,Почти идеальное,Шампань,"Мелкие включения, видимые без увеличения",60.2,60.0,4.82,4.78,2.89,969
160,17111,0.3,Отличное,Аква,"Мелкие включения, видимые без увеличения",62.9,58.0,4.26,4.29,2.69,447
161,9441,0.7,Почти идеальное,Розовый,"Очень мелкие включения, видимые без увеличения",58.7,61.0,5.8,5.72,3.38,2842
162,15781,0.75,Почти идеальное,Шампань,"Мелкие включения, видимые без увеличения",59.9,54.0,6.0,5.96,3.58,2760
163,6427,0.32,Почти идеальное,Голубой,"Очень мелкие включения, видимые без увеличения",59.5,58.0,4.47,4.5,2.67,505
164,15512,0.34,Отличное,Розовый,Чистый,61.1,54.0,4.54,4.56,2.78,999
165,694,0.91,Отличное,Желтый,"Мелкие включения, видимые без увеличения",63.5,58.0,6.17,6.12,3.9,2905
166,21520,0.91,Очень хорошее,Розовый,"Мелкие включения, видимые без увеличения",64.4,60.0,6.05,6.1,3.91,3994
167,18472,0.34,Почти идеальное,Белый,"Очень мелкие включения, видимые без увеличения",61.6,60.0,4.47,4.49,2.76,596
168,14754,0.43,Идеальное,Розовый,"Очень мелкие включения, не видимые без увеличения",62.0,57.0,4.84,4.81,2.99,1422
169,17646,0.73,Идеальное,Шампань,"Очень мелкие включения, видимые без увеличения",62.2,59.0,5.74,5.77,3.58,3198
170,24216,0.32,Идеальное,Аква,"Мелкие включения, видимые без увеличения",59.5,57.0,4.47,4.5,2.67,477
171,11617,0.4,Отличное,Аква,"Мелкие включения, видимые без увеличения",63.1,57.0,4.75,4.72,2.99,798
172,6757,0.93,Хорошее,Зеленый,"Очень мелкие включения, видимые без увеличения",64.7,58.0,6.09,6.06,3.93,3258
173,21586,0.31,Идеальное,,"Очень мелкие включения, видимые без увеличения",61.8,54.0,4.34,4.37,2.69,680
174,5038,0.41,Идеальное,Шампань,"Очень мелкие включения, не видимые без увеличения",61.4,57.0,4.77,4.8,2.94,1221
175,21986,0.4,Почти идеальное,Шампань,"Мелкие включения, видимые без увеличения",60.9,56.0,4.8,4.76,2.91,945
176,6530,0.39,Отличное,Розовый,"Очень мелкие включения, видимые без увеличения",60.1,56.0,4.77,4.82,2.88,832
177,21700,0.25,Идеальное,Белый,"Очень мелкие включения, не видимые без увеличения",62.1,57.0,4.01,4.07,2.5,525
178,6824,0.53,Идеальное,Белый,"Очень мелкие включения, видимые без увеличения",61.7,55.0,5.22,5.18,3.21,1727
179,11772,0.41,Идеальное,Аква,"Очень мелкие включения, видимые без увеличения",61.0,57.0,4.78,4.82,2.93,1151
180,2552,1.16,Идеальное,Зеленый,"Мелкие включения, видимые без увеличения",62.6,56.0,6.68,6.73,4.2,4478
181,22110,1.22,Отличное,Желтый,"Мелкие включения, видимые без увеличения",62.2,60.0,6.77,6.89,4.25,4058
182,2255,0.41,Отличное,Аква,"Очень мелкие включения, видимые без увеличения",62.3,59.0,4.72,4.79,2.96,1018
183,2972,0.39,Отличное,Белый,"Очень мелкие включения, не видимые без увеличения",60.7,61.0,4.7,4.73,2.86,958
184,13302,0.34,Почти идеальное,Зеленый,"Очень мелкие включения, не видимые без увеличения",60.5,59.0,4.48,4.54,2.73,626
185,11736,0.6,Очень хорошее,Белый,"Мелкие включения, видимые без увеличения",65.3,56.0,5.21,5.26,3.42,1350
186,21653,0.52,Идеальное,Аква,"Очень мелкие включения, видимые без увеличения",62.0,53.0,5.17,5.21,3.22,1701
187,4455,0.71,Почти идеальное,Голубой,"Очень мелкие включения, видимые без увеличения",62.4,58.0,5.73,5.68,3.56,2572
188,23938,0.7,Отличное,Желтый,"Мелкие включения, видимые без увеличения",60.2,61.0,5.69,5.73,3.44,1817
189,17906,0.9,Отличное,Аква,"Мелкие включения, видимые без увеличения",62.5,58.0,6.12,6.16,3.84,3798
190,15444,0.72,Отличное,Розовый,"Очень мелкие включения, не видимые без увеличения",63.4,56.0,5.68,5.71,3.61,3338
191,9090,0.3,Идеальное,Розовый,"Очень мелкие включения, не видимые без увеличения",61.5,56.0,4.32,4.36,2.67,1041
192,12255,1.01,Почти идеальное,Белый,"Мелкие включения, видимые без увеличения",61.9,59.0,6.46,6.39,3.98,4327
193,19058,0.59,Идеальное,,"Мелкие включения, видимые без увеличения",61.3,59.0,5.36,5.4,3.3,1793
194,5042,0.7,Идеальное,Аква,"Очень мелкие включения, видимые без увеличения",62.8,53.4,5.64,5.68,3.55,3618
195,20540,1.05,Отличное,Голубой,"Мелкие включения, видимые без увеличения",63.8,58.0,6.38,6.45,4.09,4112
196,26817,0.36,Почти идеальное,,"Мелкие включения, видимые без увеличения",60.8,58.0,4.57,4.61,2.79,473
197,18924,0.63,Почти идеальное,Шампань,"Очень мелкие включения, видимые без увеличения",60.4,58.0,5.59,5.64,3.39,2171
198,21903,0.71,Идеальное,Аква,"Очень мелкие включения, видимые без увеличения",60.4,57.0,5.77,5.82,3.5,3135
199,15109,0.58,Идеальное,Шампань,"Очень мелкие включения, видимые без увеличения",61.7,57.0,5.35,5.42,3.32,1683
200,6875,0.9,Хорошее,Зеленый,"Мелкие включения, видимые без увеличения",65.3,57.0,5.98,5.93,3.89,2536
201,9909,0.33,Идеальное,Аква,"Очень мелкие включения, видимые без увеличения",62.6,56.0,4.43,4.39,2.76,1002
202,2863,0.72,Идеальное,,"Мелкие включения, видимые без увеличения",61.2,58.0,5.72,5.78,3.52,2300
203,26526,0.73,Идеальное,,"Очень мелкие включения, видимые без увеличения",62.0,54.0,5.79,5.83,3.6,2583
204,15160,1.0,Хорошее,Голубой,"Очень мелкие включения, не видимые без увеличения",65.1,57.0,6.27,6.23,4.07,4312
205,15040,0.33,Идеальное,Белый,"Очень мелкие включения, не видимые без увеличения",61.7,56.0,4.42,4.46,2.74,752
206,1402,0.38,Идеальное,Белый,"Мелкие включения, видимые без увеличения",61.9,56.0,4.64,4.67,2.88,639
207,26242,0.33,Идеальное,Голубой,"Очень мелкие включения, не видимые без увеличения",61.4,53.0,4.5,4.55,2.78,687
208,17252,0.58,Идеальное,Аква,"Мелкие включения, видимые без увеличения",60.9,56.0,5.4,5.44,3.3,1607
209,3652,0.33,Идеальное,Шампань,"Очень мелкие включения, видимые без увеличения",59.6,56.0,4.49,4.54,2.69,781
210,2745,0.3,Идеальное,Голубой,"Очень мелкие включения, не видимые без увеличения",63.0,54.0,4.3,4.27,2.7,878
211,183,0.51,Отличное,Голубой,"Очень мелкие включения, видимые без увеличения",62.3,57.0,5.1,5.12,3.18,1628
212,22900,0.71,Идеальное,Голубой,"Очень мелкие включения, видимые без увеличения",61.6,57.0,5.74,5.79,3.55,2175
213,21272,1.2,Почти идеальное,Желтый,"Мелкие включения, видимые без увеличения",61.1,59.0,6.81,6.78,4.15,4234
214,19394,1.03,Идеальное,Розовый,"Крупные включения, видимые без увеличения",61.1,55.0,6.51,6.54,3.99,3444
215,10780,0.3,Очень хорошее,,"Очень мелкие включения, видимые без увеличения",63.5,54.0,4.25,4.28,2.71,526
216,13757,0.31,Почти идеальное,Шампань,"Мелкие включения, видимые без увеличения",61.2,61.0,4.37,4.36,2.67,558
217,19829,0.41,Почти идеальное,Белый,"Очень мелкие включения, видимые без увеличения",58.9,60.0,4.87,4.84,2.86,1076
218,15551,0.73,Отличное,Шампань,"Мелкие включения, видимые без увеличения",63.2,60.0,5.76,5.71,3.62,2335
219,18854,0.32,Идеальное,Аква,"Мелкие включения, видимые без увеличения",59.5,57.0,4.5,4.47,2.67,612
220,19007,0.5,Отличное,,"Очень мелкие включения, видимые без увеличения",62.9,60.0,5.07,5.1,3.2,1559
221,6153,0.5,Почти идеальное,Белый,"Мелкие включения, видимые без увеличения",62.8,61.0,5.01,4.99,3.14,1286
222,23510,0.53,Почти идеальное,Аква,"Очень мелкие включения, видимые без увеличения",60.4,58.0,5.26,5.23,3.17,1956
223,15949,0.35,Идеальное,Розовый,"Очень мелкие включения, видимые без увеличения",61.5,57.0,4.52,4.56,2.79,706
224,7888,0.4,Идеальное,Аква,"Очень мелкие включения, видимые без увеличения",61.6,57.0,4.77,4.71,2.92,1050
