# Метеостанция Нижневартовск / им. В. И. Муравленко (аэропорт), Россия, WMO_ID=23471, выборка с 01.04.2018 по 01.05.2018, все дни
# Кодировка: ANSI
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=23471&lang=ru
#
"Местное время в Нижневартовске / им. В. И. Муравленко (аэропорт)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"28.04.2018 17:00";"8.9";"758.2";"763.2";"-0.1";"36";"Ветер, дующий с востоко-юго-востока";"5";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"50.0";"-5.4";"";"";"";"";"";"";
"28.04.2018 14:00";"9.0";"758.3";"763.3";"-0.2";"38";"Ветер, дующий с востока";"4";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"50.0";"-4.7";"";"";"";"";"";"";
"28.04.2018 11:00";"7.3";"758.5";"763.6";"-0.2";"46";"Ветер, дующий с востоко-юго-востока";"3";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"50.0";"-3.6";"";"";"";"";"";"";
"28.04.2018 08:00";"2.7";"758.7";"763.8";"0.3";"62";"Ветер, дующий с юго-востока";"3";"";"";"Облаков нет.";" ";"";"";"-1.1";"";"";"";"";"";"";"50.0";"-3.9";"Осадков нет";"12";"";"";"Слежавшийся или мокрый снег (со льдом или без него), покрывающий по крайней мере половину поверхности почвы, но почва не покрыта полностью.";"50.0";
"28.04.2018 05:00";"-0.9";"758.4";"763.6";"0.0";"71";"Ветер, дующий с юго-востока";"3";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"50.0";"-5.5";"";"";"";"";"";"";
"28.04.2018 02:00";"-0.2";"758.4";"763.6";"-0.1";"69";"Ветер, дующий с юго-юго-востока";"4";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"-5.2";"";"";"";"";"";"";
"27.04.2018 23:00";"1.0";"758.5";"763.6";"-0.3";"63";"Ветер, дующий с юго-востока";"3";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"-5.4";"";"";"";"";"";"";
"27.04.2018 20:00";"3.1";"758.8";"763.9";"-0.1";"43";"Ветер, дующий с востоко-юго-востока";"4";"";"";"Облаков нет.";" ";"";"";"";"6.9";"";"";"";"";"";"50.0";"-8.3";"Осадков нет";"12";"";"";"";"";
"27.04.2018 17:00";"5.7";"758.9";"764.0";"-0.3";"26";"Ветер, дующий с юго-востока";"3";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"50.0";"-12.6";"";"";"";"";"";"";
"27.04.2018 14:00";"6.3";"759.2";"764.3";"-0.2";"20";"Ветер, дующий с юго-юго-запада";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"50.0";"-15.4";"";"";"";"";"";"";
"27.04.2018 11:00";"1.6";"759.4";"764.5";"0.6";"44";"Ветер, дующий с юго-юго-запада";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"50.0";"-9.4";"";"";"";"";"";"";
"27.04.2018 08:00";"-2.4";"758.8";"764.0";"1.0";"68";"Ветер, дующий с юго-юго-запада";"1";"";"";"Облаков нет.";" ";"";"";"-6.8";"";"";"";"";"";"";"50.0";"-7.6";"Осадков нет";"12";"";"";"Слежавшийся или мокрый снег (со льдом или без него), покрывающий по крайней мере половину поверхности почвы, но почва не покрыта полностью.";"50.0";
"27.04.2018 05:00";"-6.8";"757.8";"763.0";"0.9";"91";"Ветер, дующий с запада";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"50.0";"-8.0";"";"";"";"";"";"";
"27.04.2018 02:00";"-5.0";"756.9";"762.1";"0.8";"91";"Ветер, дующий с запада";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"-6.3";"";"";"";"";"";"";
"26.04.2018 23:00";"-1.8";"756.1";"761.3";"1.3";"78";"Ветер, дующий с запада";"2";"";"";"90  или более, но не 100%";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"90  или более, но не 100%";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"-5.2";"";"";"";"";"";"";
"26.04.2018 20:00";"-0.8";"754.8";"760.0";"1.1";"76";"Ветер, дующий с запада";"3";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"0.5";"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.";"70 – 80%.";"600-1000";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"50.0";"-4.6";"0.7";"12";"";"";"";"";
"26.04.2018 17:00";"0.3";"753.7";"758.8";"1.8";"81";"Ветер, дующий с запада";"4";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"Ливень (ливни).";"Дождь со снегом или другими видами твердых осадков";"";"";"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.";"70 – 80%.";"600-1000";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"9.0";"-2.7";"";"";"";"";"";"";
"26.04.2018 14:00";"-0.6";"751.9";"757.0";"1.2";"92";"Ветер, дующий с западо-юго-запада";"3";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Ливень (ливни).";"Снег и/или другие виды твердых осадков";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"70 – 80%.";"100-200";"Высокослоистые непросвечивающие или слоисто-дождевые.";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся; сплошная пелена, поднимающаяся над горизонтом выше 45°, не покрывает всего неба.";"6.0";"-1.8";"";"";"";"";"";"";
"26.04.2018 11:00";"-0.4";"750.7";"755.8";"1.2";"80";"Ветер, дующий с запада";"3";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.";"70 – 80%.";"200-300";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"2.8";"-3.4";"";"";"";"";"";"";
"26.04.2018 08:00";"-1.6";"749.5";"754.6";"1.0";"88";"Ветер, дующий с запада";"2";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"-2.6";"";"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.";"60%.";"600-1000";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"7.0";"-3.3";"2.0";"12";"";"";"Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"54.0";
"26.04.2018 05:00";"-1.5";"748.5";"753.6";"0.8";"96";"Ветер, дующий с запада";"2";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"Ливень (ливни).";"Снег и/или другие виды твердых осадков";"";"";"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.";"70 – 80%.";"200-300";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"4.3";"-2.0";"";"";"";"";"";"";
"26.04.2018 02:00";"0.1";"747.7";"752.8";"0.3";"98";"Ветер, дующий с юго-запада";"2";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Ливень (ливни).";"Дождь со снегом или другими видами твердых осадков";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"20–30%.";"200-300";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"6.0";"-0.2";"";"";"";"";"";"";
"25.04.2018 23:00";"0.6";"747.4";"752.5";"0.3";"97";"Ветер, дующий с юго-запада";"2";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"Ливень (ливни).";"Ливень (ливни).";"";"";"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.";"60%.";"600-1000";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"4.5";"0.1";"";"";"";"";"";"";
"25.04.2018 20:00";"1.5";"747.1";"752.2";"1.0";"77";"Ветер, дующий с юго-запада";"3";"";"";"90  или более, но не 100%";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"6.7";"Слоисто-кучевые, образовавшиеся не из кучевых.";"50%.";"600-1000";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"50.0";"-2.2";"Следы осадков";"12";"";"";"";"";
"25.04.2018 17:00";"3.9";"746.1";"751.1";"1.9";"64";"Ветер, дующий с западо-юго-запада";"4";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"50.0";"-2.3";"";"";"";"";"";"";
"25.04.2018 14:00";"6.3";"744.2";"749.2";"1.3";"59";"Ветер, дующий с запада";"3";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"20–30%.";"600-1000";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"50.0";"-1.2";"";"";"";"";"";"";
"25.04.2018 11:00";"5.7";"742.9";"747.9";"0.6";"74";"Ветер, дующий с запада";"4";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"90  или более, но не 100%";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"50.0";"1.4";"";"";"";"";"";"";
"25.04.2018 08:00";"4.0";"742.3";"747.4";"-0.3";"93";"Ветер, дующий с юга";"2";"";"";"40%.";" ";"";"";"2.8";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"40%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"50.0";"3.0";"Осадков нет";"12";"";"";"Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"54.0";
"25.04.2018 05:00";"2.9";"742.6";"747.7";"-1.2";"95";"Ветер, дующий с юго-юго-востока";"2";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"90  или более, но не 100%";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"50.0";"2.1";"";"";"";"";"";"";
"25.04.2018 02:00";"3.5";"743.8";"748.8";"-1.0";"93";"Ветер, дующий с юго-юго-востока";"4";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"90  или более, но не 100%";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"2.5";"";"";"";"";"";"";
"24.04.2018 23:00";"3.9";"744.8";"749.8";"-0.9";"90";"Ветер, дующий с юго-юго-востока";"4";"";"";"60%.";"Состояние неба в общем не изменилось. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"60%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"2.4";"";"";"";"";"";"";
"24.04.2018 20:00";"3.6";"745.7";"750.7";"-1.4";"88";"Ветер, дующий с востоко-юго-востока";"4";"";"";"100%.";"Дождь (незамерзающий) неливневый. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"5.1";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"50.0";"1.8";"3.0";"12";"";"";"";"";
"24.04.2018 17:00";"4.7";"747.1";"752.1";"-1.4";"56";"Ветер, дующий с юго-востока";"5";"";"12";"100%.";"Дождь незамерзающий непрерывный слабый в срок наблюдения. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"10.0";"-3.4";"";"";"";"";"";"";
"24.04.2018 14:00";"3.1";"748.5";"753.5";"-2.5";"53";"Ветер, дующий с востоко-юго-востока";"8";"12";"14";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"90  или более, но не 100%";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"50.0";"-5.6";"";"";"";"";"";"";
"24.04.2018 11:00";"0.5";"751.0";"756.1";"-2.3";"58";"Ветер, дующий с востоко-юго-востока";"8";"12";"12";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"70 – 80%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"50.0";"-6.9";"";"";"";"";"";"";
"24.04.2018 08:00";"-2.6";"753.3";"758.4";"-1.2";"52";"Ветер, дующий с юго-востока";"6";"";"10";"100%.";" ";"";"";"-3.6";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"70 – 80%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"50.0";"-11.1";"Осадков нет";"12";"";"";"Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"58.0";
"24.04.2018 05:00";"-3.5";"754.5";"759.7";"-1.0";"56";"Ветер, дующий с юго-востока";"5";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"90  или более, но не 100%";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"50.0";"-11.0";"";"";"";"";"";"";
